"dt","k","v"
2014-10-23,"lg.visits",1897914
2014-10-24,"lg.visits",2060942
2014-10-25,"lg.visits",2042199
2014-10-26,"lg.visits",2143777
2014-10-27,"lg.visits",2223638
2014-10-28,"lg.visits",2105353
2014-10-29,"lg.visits",2085898
2014-10-30,"lg.visits",1885910
2014-10-31,"lg.visits",1750843
2014-11-01,"lg.visits",2025902
2014-11-02,"lg.visits",2431616
2014-11-03,"lg.visits",2361838
2014-11-04,"lg.visits",2209650
2014-11-05,"lg.visits",2238589
2014-11-06,"lg.visits",2311315
2014-11-07,"lg.visits",2384496
2014-11-08,"lg.visits",2308763
2014-11-09,"lg.visits",2488468
2014-11-10,"lg.visits",2493785
2014-11-11,"lg.visits",3368217
2014-11-12,"lg.visits",3187319
2014-11-13,"lg.visits",2772740
2014-11-14,"lg.visits",2839773
2014-11-15,"lg.visits",2804779
2014-11-16,"lg.visits",3231331
2014-11-17,"lg.visits",3134168
2014-11-18,"lg.visits",3156516
2014-11-19,"lg.visits",3066911
2014-11-20,"lg.visits",3761261
2014-11-21,"lg.visits",3574280
2014-11-22,"lg.visits",3686622
2014-11-23,"lg.visits",4347657
2014-11-24,"lg.visits",5125871
2014-11-25,"lg.visits",5303978
2014-11-26,"lg.visits",6269641
2014-11-27,"lg.visits",10780054
2014-11-28,"lg.visits",11394512
2014-11-29,"lg.visits",5908372
2014-11-30,"lg.visits",6358303
2014-12-01,"lg.visits",11465951
2014-12-02,"lg.visits",4626796
2014-12-03,"lg.visits",3774218
2014-12-04,"lg.visits",3508702
2014-12-05,"lg.visits",3542776
2014-12-06,"lg.visits",3491618
2014-12-07,"lg.visits",3628626
2014-12-08,"lg.visits",3824470
2014-12-09,"lg.visits",3640165
2014-12-10,"lg.visits",3458534
2014-12-11,"lg.visits",3338128
2014-12-12,"lg.visits",3427739
2014-12-13,"lg.visits",3310979
2014-12-14,"lg.visits",3706731
2014-12-15,"lg.visits",3887369
2014-12-16,"lg.visits",3568599
2014-12-17,"lg.visits",3397460
2014-12-18,"lg.visits",3305852
2014-12-19,"lg.visits",3588241
2014-12-20,"lg.visits",3478219
2014-12-21,"lg.visits",3506513
2014-12-22,"lg.visits",3743789
2014-12-23,"lg.visits",3386652
2014-12-24,"lg.visits",2583444
2014-12-25,"lg.visits",2625464
2014-12-26,"lg.visits",4130608
2014-12-27,"lg.visits",3127290
2014-12-28,"lg.visits",3060819
2014-12-29,"lg.visits",3030838
2014-12-30,"lg.visits",2828044
2014-12-31,"lg.visits",2307745
2015-01-01,"lg.visits",2446530
2015-01-02,"lg.visits",2862115
2015-01-03,"lg.visits",2781402
2015-01-04,"lg.visits",2574682
2015-01-05,"lg.visits",2342400
2015-01-06,"lg.visits",2238690
2015-01-07,"lg.visits",2182567
2015-01-08,"lg.visits",2175013
2015-01-09,"lg.visits",2178331
2015-01-10,"lg.visits",2149976
2015-01-11,"lg.visits",2338313
2015-01-12,"lg.visits",2205165
2015-01-13,"lg.visits",2083126
2015-01-14,"lg.visits",2231941
2015-01-15,"lg.visits",2384491
2015-01-16,"lg.visits",2211379
2015-01-17,"lg.visits",2062852
2015-01-18,"lg.visits",2215549
2015-01-19,"lg.visits",2245155
2015-01-20,"lg.visits",1997963
2015-01-21,"lg.visits",2060363
2015-01-22,"lg.visits",2119913
2015-01-23,"lg.visits",2194001
2015-01-24,"lg.visits",2129164
2015-01-25,"lg.visits",2264241
2015-01-26,"lg.visits",2130188
2015-01-27,"lg.visits",1987618
2015-01-28,"lg.visits",1946523
2015-01-29,"lg.visits",1873077
2015-01-30,"lg.visits",1893403
2015-01-31,"lg.visits",1833848
2015-02-01,"lg.visits",1846195
2015-02-02,"lg.visits",1867160
2015-02-03,"lg.visits",1922423
2015-02-04,"lg.visits",1988167
2015-02-05,"lg.visits",1979465
2015-02-06,"lg.visits",2092908
2015-02-07,"lg.visits",1963136
2015-02-08,"lg.visits",2161803
2015-02-09,"lg.visits",2093533
2015-02-10,"lg.visits",2005995
2015-02-11,"lg.visits",2007504
2015-02-12,"lg.visits",2101297
2015-02-13,"lg.visits",2184310
2015-02-14,"lg.visits",1953623
2015-02-15,"lg.visits",2250175
2015-02-16,"lg.visits",2264291
2015-02-17,"lg.visits",2012036
2015-02-18,"lg.visits",2014677
2015-02-19,"lg.visits",2002995
2015-02-20,"lg.visits",2026056
2015-02-21,"lg.visits",1905951
2015-02-22,"lg.visits",2043858
2015-02-23,"lg.visits",1951132
2015-02-24,"lg.visits",1874190
2015-02-25,"lg.visits",1862988
2015-02-26,"lg.visits",1882786
2015-02-27,"lg.visits",1932659
2015-02-28,"lg.visits",2098550
2015-03-01,"lg.visits",2405248
2015-03-02,"lg.visits",2134847
2015-03-03,"lg.visits",1824588
2015-03-04,"lg.visits",1833651
2015-03-05,"lg.visits",1854632
2015-03-06,"lg.visits",1906089
2015-03-07,"lg.visits",1763921
2015-03-08,"lg.visits",1964808
2015-03-09,"lg.visits",1923845
2015-03-10,"lg.visits",1886923
2015-03-11,"lg.visits",1778045
2015-03-12,"lg.visits",1738627
2015-03-13,"lg.visits",1855481
2015-03-14,"lg.visits",1721429
2015-03-15,"lg.visits",1907016
2015-03-16,"lg.visits",1847623
2015-03-17,"lg.visits",1896004
2015-03-18,"lg.visits",1904841
2015-03-19,"lg.visits",1791268
2015-03-20,"lg.visits",1759307
2015-03-21,"lg.visits",1695846
2015-03-22,"lg.visits",1913576
2015-03-23,"lg.visits",1927013
2015-03-24,"lg.visits",1821935
2015-03-25,"lg.visits",1785841
2015-03-26,"lg.visits",1660652
2015-03-27,"lg.visits",1753702
2015-03-28,"lg.visits",1628324
2015-03-29,"lg.visits",1836257
2015-03-30,"lg.visits",1796038
2015-03-31,"lg.visits",1928087
2015-04-01,"lg.visits",1759059
2015-04-02,"lg.visits",1755022
2015-04-03,"lg.visits",1845436
2015-04-04,"lg.visits",1586801
2015-04-05,"lg.visits",1707982
2015-04-06,"lg.visits",2018536
2015-04-07,"lg.visits",1860210
2015-04-08,"lg.visits",1826939
2015-04-09,"lg.visits",1656458
2015-04-10,"lg.visits",1757101
2015-04-11,"lg.visits",1504211
2015-04-12,"lg.visits",1720016
2015-04-13,"lg.visits",1730622
2015-04-14,"lg.visits",1670168
2015-04-15,"lg.visits",1770083
2015-04-16,"lg.visits",1651725
2015-04-17,"lg.visits",1659992
2015-04-18,"lg.visits",1459896
2015-04-19,"lg.visits",1879390
2015-04-20,"lg.visits",1791779
2015-04-21,"lg.visits",1850195
2015-04-22,"lg.visits",1915483
2015-04-23,"lg.visits",1775527
2015-04-24,"lg.visits",1823445
2015-04-25,"lg.visits",1656317
2015-04-26,"lg.visits",1841199
2015-04-27,"lg.visits",1890643
2015-04-28,"lg.visits",1902339
2015-04-29,"lg.visits",1763013
2015-04-30,"lg.visits",1627101
2015-05-01,"lg.visits",1613746
2015-05-02,"lg.visits",1407284
2015-05-03,"lg.visits",1689904
2015-05-04,"lg.visits",1898438
2015-05-05,"lg.visits",1739155
2015-05-06,"lg.visits",1737239
2015-05-07,"lg.visits",1639426
2015-05-08,"lg.visits",1619939
2015-05-09,"lg.visits",1475980
2015-05-10,"lg.visits",1648900
2015-05-11,"lg.visits",1767542
2015-05-12,"lg.visits",1869200
2015-05-13,"lg.visits",1713298
2015-05-14,"lg.visits",1643517
